,realized_return,forecast_var,exception,rolling_exception_rate
2020-01-07,-0.0020933303335801132,-0.006194946196948106,0,0.011904761904761904
2020-01-08,-0.0017126814007157262,-0.006194946196948106,0,0.011904761904761904
2020-01-09,0.0041447314067385166,-0.006194946196948106,0,0.011904761904761904
2020-01-10,0.0019395916355815944,-0.006194946196948106,0,0.011904761904761904
2020-01-13,0.0024704074088000632,-0.006194946196948106,0,0.011904761904761904
2020-01-14,-2.5487051351469987e-06,-0.006194946196948106,0,0.011904761904761904
2020-01-15,0.0019199378363919718,-0.006194946196948106,0,0.011904761904761904
2020-01-16,0.0031074255388564846,-0.006194946196948106,0,0.011904761904761904
2020-01-17,-0.00068846761174212159,-0.006194946196948106,0,0.011904761904761904
2020-01-21,-0.0023166112965655856,-0.006194946196948106,0,0.011904761904761904
2020-01-22,0.00083423103288087202,-0.006194946196948106,0,0.011904761904761904
2020-01-23,0.0011292001697937757,-0.0060799467450886255,0,0.011904761904761904
2020-01-24,-0.0026112048817142687,-0.0060799467450886255,0,0.011904761904761904
2020-01-27,-0.007724989783385673,-0.0060799467450886255,1,0.015873015873015872
2020-01-28,0.0021847346561059576,-0.006194946196948106,0,0.015873015873015872
2020-01-29,0.0023621304801616613,-0.006194946196948106,0,0.015873015873015872
2020-01-30,0.0006571864361716198,-0.006194946196948106,0,0.015873015873015872
2020-01-31,-0.0092542814971536616,-0.006194946196948106,1,0.01984126984126984
2020-02-03,0.0016007267037437213,-0.0064044652185045337,0,0.01984126984126984
2020-02-04,0.0037221417347222457,-0.0064044652185045337,0,0.01984126984126984
2020-02-05,0.0064017440898130997,-0.0064044652185045337,0,0.01984126984126984
2020-02-06,0.0023525032578156965,-0.0064044652185045337,0,0.01984126984126984
2020-02-07,-0.00070196912472543233,-0.0064044652185045337,0,0.01984126984126984
2020-02-10,0.0041176312686458166,-0.0064044652185045337,0,0.01984126984126984
2020-02-11,0.001341184423358577,-0.0064044652185045337,0,0.01984126984126984
2020-02-12,0.0038911175058073178,-0.0064044652185045337,0,0.01984126984126984
2020-02-13,-0.00024030511480800393,-0.0064044652185045337,0,0.01984126984126984
2020-02-14,0.0018787921375536974,-0.0064044652185045337,0,0.01984126984126984
2020-02-18,0.0011236009126733165,-0.0064044652185045337,0,0.01984126984126984
2020-02-19,0.0048289768257391676,-0.0064044652185045337,0,0.01984126984126984
2020-02-20,-0.00074167894515316825,-0.0064044652185045337,0,0.01984126984126984
2020-02-21,-0.0012908237664255198,-0.0064044652185045337,0,0.01984126984126984
2020-02-24,-0.016546313355708088,-0.006194946196948106,1,0.023809523809523808
2020-02-25,-0.018678043944626566,-0.0064044652185045337,1,0.027777777777777776
2020-02-26,-0.0043601125977708096,-0.0067125375010583964,0,0.027777777777777776
2020-02-27,-0.02297097652954494,-0.0067125375010583964,1,0.031746031746031744
2020-02-28,-0.0019657231264162581,-0.0068114662580176224,0,0.031746031746031744
2020-03-02,0.022526316851138928,-0.0068114662580176224,0,0.031746031746031744
2020-03-03,-0.0065901723815838149,-0.0068114662580176224,0,0.031746031746031744
2020-03-04,0.018562436442066482,-0.0068114662580176224,0,0.031746031746031744
2020-03-05,-0.0095950388069387625,-0.0068114662580176224,1,0.035714285714285712
2020-03-06,-0.0012129547489682325,-0.0069524521425607918,0,0.035714285714285712
2020-03-09,-0.051183444970276819,-0.0069524521425607918,1,0.03968253968253968
2020-03-10,0.014543399136110569,-0.0073819444131375828,0,0.03968253968253968
2020-03-11,-0.03917884280385632,-0.0073819444131375828,1,0.043650793650793648
2020-03-12,-0.065189543981640286,-0.0078142636919722817,1,0.047619047619047616
2020-03-13,0.040404642774851438,-0.0079879160650526745,0,0.047619047619047616
2020-03-16,-0.055381077208549123,-0.0079879160650526745,1,0.051587301587301584
2020-03-17,0.014534781149128834,-0.0085300609795816006,0,0.051587301587301584
2020-03-18,-0.060338077948889395,-0.0085300609795816006,1,0.055555555555555552
2020-03-19,0.012394616679654835,-0.009167375838400188,0,0.055555555555555552
2020-03-20,0.0055256026037876814,-0.009167375838400188,0,0.055555555555555552
2020-03-23,-0.0025053782633848174,-0.009167375838400188,0,0.055555555555555552
2020-03-24,0.062418549036280316,-0.0086011656094708028,0,0.055555555555555552
2020-03-25,0.011608152894693764,-0.0086011656094708028,0,0.055555555555555552
2020-03-26,0.036406284534100726,-0.0086011656094708028,0,0.055555555555555552
2020-03-27,-0.01867291529288596,-0.0086011656094708028,1,0.059523809523809521
2020-03-30,0.014265886547308388,-0.0094076222865569527,0,0.059523809523809521
2020-03-31,-0.01055243127401587,-0.0094076222865569527,1,0.063492063492063489
2020-04-01,-0.022313984294420611,-0.01002586541712345,1,0.067460317460317457
2020-04-02,0.025802806803005895,-0.011027860320976654,0,0.067460317460317457
2020-04-03,-0.007402643194936543,-0.011027860320976654,0,0.067460317460317457
2020-04-06,0.041130013741189589,-0.011027860320976654,0,0.067460317460317457
2020-04-07,-0.00036518352984327119,-0.011027860320976654,0,0.067460317460317457
2020-04-08,0.01796802416808968,-0.011027860320976654,0,0.067460317460317457
2020-04-09,0.0091874371896413232,-0.011027860320976654,0,0.067460317460317457
2020-04-13,-0.003546405227995343,-0.011027860320976654,0,0.067460317460317457
2020-04-14,0.014731209246425821,-0.011027860320976654,0,0.067460317460317457
2020-04-15,-0.0099074614041849418,-0.011027860320976654,0,0.067460317460317457
2020-04-16,0.0009044807107623017,-0.011027860320976654,0,0.067460317460317457
2020-04-17,0.017392059799939776,-0.011027860320976654,0,0.067460317460317457
2020-04-20,-0.0083580857082840923,-0.011027860320976654,0,0.067460317460317457
2020-04-21,-0.01454978097618548,-0.011027860320976654,1,0.071428571428571425
2020-04-22,0.015562566910588717,-0.011771681494887684,0,0.071428571428571425
2020-04-23,0.0056557605718255749,-0.011771681494887684,0,0.071428571428571425
2020-04-24,0.0056107750206355229,-0.011771681494887684,0,0.071428571428571425
2020-04-27,0.0043077717583601682,-0.011771681494887684,0,0.071428571428571425
2020-04-28,0.0028528231979288556,-0.011771681494887684,0,0.071428571428571425
2020-04-29,0.020326022978694354,-0.011771681494887684,0,0.071428571428571425
2020-04-30,-0.013684490290864427,-0.011771681494887684,1,0.075396825396825393
2020-05-01,-0.016783489103115827,-0.012113896888797212,1,0.079365079365079361
2020-05-04,0.0049879120477221879,-0.01291699971602238,0,0.079365079365079361
2020-05-05,0.0033726046323050989,-0.01291699971602238,0,0.079365079365079361
2020-05-06,-0.011593368226466892,-0.01291699971602238,0,0.079365079365079361
2020-05-07,0.014716664804423907,-0.01291699971602238,0,0.079365079365079361
2020-05-08,0.0091295336294744192,-0.01291699971602238,0,0.079365079365079361
2020-05-11,-0.0052093145352241077,-0.01291699971602238,0,0.079365079365079361
2020-05-12,-0.0069642901287160011,-0.01291699971602238,0,0.075396825396825393
